# z                      e_perp                   e_para                   
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.214520000000000099e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.429049999999999931e-01 1.000000000000000000e+00 1.000000000000000000e+00
6.643569999999999753e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.858089999999999575e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.107261000000000051e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.328713999999999951e+00 1.000000999999999918e+00 1.000002170563509374e+00
1.550165999999999933e+00 1.000000999999999918e+00 1.000002170563509374e+00
1.771617999999999915e+00 1.000000999999999918e+00 1.000002170563509374e+00
1.993069999999999897e+00 1.000000999999999918e+00 1.000002170563509374e+00
2.214522999999999797e+00 1.000000999999999918e+00 1.000002170563509374e+00
2.435975000000000001e+00 1.000002000000000058e+00 1.000004341127019192e+00
2.657427000000000206e+00 1.000002000000000058e+00 1.000004341127019192e+00
2.878878999999999966e+00 1.000002999999999975e+00 1.000006511690528566e+00
3.100331999999999866e+00 1.000003999999999893e+00 1.000008682254037939e+00
3.321784000000000070e+00 1.000005999999999950e+00 1.000013023381057131e+00
3.543235999999999830e+00 1.000008000000000008e+00 1.000017364508076323e+00
3.764688000000000034e+00 1.000010999999999983e+00 1.000023876198604889e+00
3.986140999999999934e+00 1.000015000000000098e+00 1.000032558452643494e+00
4.207593000000000139e+00 1.000021000000000049e+00 1.000045581833700625e+00
4.429045000000000343e+00 1.000029999999999974e+00 1.000065116905286322e+00
4.650497999999999799e+00 1.000042000000000098e+00 1.000091163667401029e+00
4.871950000000000003e+00 1.000059000000000031e+00 1.000128063247063270e+00
5.093402000000000207e+00 1.000081999999999915e+00 1.000177986207782421e+00
5.314854000000000411e+00 1.000116000000000005e+00 1.000251785367107127e+00
5.536306999999999867e+00 1.000161999999999995e+00 1.000351631288546317e+00
5.757759000000000071e+00 1.000227999999999895e+00 1.000494888480176092e+00
5.979211000000000276e+00 1.000318000000000040e+00 1.000690239196035281e+00
6.200662999999999592e+00 1.000444000000000111e+00 1.000963730198238144e+00
6.422115999999999936e+00 1.000618999999999925e+00 1.001343578812408097e+00
6.643568000000000140e+00 1.000858999999999943e+00 1.001864514054698896e+00
6.865020000000000344e+00 1.001189000000000107e+00 1.002580800012848883e+00
7.086471999999999660e+00 1.001641000000000004e+00 1.003561894719162906e+00
7.307925000000000004e+00 1.002256000000000036e+00 1.004896791277533064e+00
7.529377000000000209e+00 1.003090000000000037e+00 1.006707041244493395e+00
7.750829000000000413e+00 1.004215999999999998e+00 1.009151095756240846e+00
7.972281999999999869e+00 1.005730000000000013e+00 1.012437328909691514e+00
8.193733999999999185e+00 1.007757999999999932e+00 1.016839231707048263e+00
8.415186000000000277e+00 1.010462999999999889e+00 1.022710606000366784e+00
8.636637999999999593e+00 1.014059999999999961e+00 1.030518122944199533e+00
8.858090999999999937e+00 1.018825000000000092e+00 1.040860858067180539e+00
9.079542999999999253e+00 1.025117999999999974e+00 1.054520214232745667e+00
9.300995000000000346e+00 1.033406000000000047e+00 1.072509844599852880e+00
9.522446999999999662e+00 1.044288000000000105e+00 1.096129916710719243e+00
