# mode    phonon energy (meV)    IPR
000         0.000000          32.899463
001         0.000000          71.994833
002         0.000000          71.998518
003         1.971349          57.943397
004         7.327466          28.321980
005         7.597752          31.469670
006         7.763890          30.867250
007         8.649138          32.223619
008         9.137635          33.050665
009         22.480815          26.553384
010         23.144130          27.396644
011         23.233399          31.052757
012         23.750413          34.150060
013         23.781409          32.633557
014         23.947548          33.155473
015         26.207780          24.925801
016         26.747111          28.625007
017         26.887213          27.134398
018         27.259166          43.490023
019         27.607561          34.517021
020         27.854290          30.178813
021         34.229557          14.844147
022         35.083808          13.816545
023         35.292102          17.052770
024         35.302021          20.884807
025         35.512794          13.588167
026         35.603302          24.551150
027         35.638018          18.073972
028         35.785559          18.862353
029         35.940539          19.700045
030         36.022369          15.467699
031         36.234382          48.428907
032         36.437716          27.290198
033         36.489789          47.763032
034         36.513346          48.399566
035         36.679485          48.044356
036         36.755115          47.067173
037         36.827026          47.157645
038         37.337841          15.266125
039         38.840530          19.205884
040         39.534841          30.574849
041         39.798927          17.725736
042         40.204356          22.690409
043         42.927049          7.002534
044         60.159612          39.265943
045         60.274918          39.533892
046         60.447256          32.750326
047         60.631992          41.570515
048         60.648110          36.945403
049         60.752257          46.889916
050         60.799371          39.447259
051         60.837806          42.150647
052         61.083295          48.620742
053         61.269271          42.792948
054         61.444089          39.656240
055         61.492442          34.846153
056         64.792902          41.768466
057         64.856134          41.398325
058         64.883410          47.834188
059         65.154936          50.918180
060         65.606238          40.851738
061         65.680629          39.519895
062         68.715762          57.002533
063         68.719481          55.553984
064         69.269971          54.170414
065         72.709293          17.074818
066         73.764398          23.554693
067         76.317233          11.341338
068         77.791405          17.621740
069         78.141040          14.574675
070         78.196833          15.963780
071         78.648136          20.643928
072         78.713847          19.412788
073         78.886185          16.632573
074         78.950657          19.288949
075         78.999011          18.648241
076         79.067202          17.504997
077         79.068442          17.345309
078         79.150272          15.442919
079         79.188707          8.993922
080         79.299053          17.463102
081         80.499220          14.199022
082         84.103441          40.861679
083         84.425799          46.834537
084         84.640292          36.937171
085         84.657650          44.189484
086         84.728321          40.688142
087         84.817589          33.754956
088         84.837427          40.684378
089         84.890740          43.994559
090         84.953972          46.069109
091         85.753670          39.772929
092         86.048753          34.115114
093         86.162818          34.244861
094         86.621560          25.760248
095         86.690991          26.833474
096         86.924081          33.896834
097         86.986073          20.582130
098         87.003431          25.134314
099         87.696503          15.253009
100         89.712486          24.477642
101         89.841429          35.031802
102         89.918299          20.927409
103         89.935657          30.856350
104         90.068320          24.413447
105         91.301963          19.874270
106         92.107860          47.770519
107         92.798452          46.756718
108         92.923676          48.292677
109         93.107173          45.768669
110         93.593191          46.144278
111         93.799005          47.749089
112         96.112550          28.209514
113         96.245213          28.109278
114         96.287368          29.614492
115         96.340681          29.273255
116         96.365478          27.872586
117         97.392067          14.307543
118         99.931263          59.479193
119         108.670909          62.670498
120         108.823410          66.245605
121         110.396769          48.860049
122         111.041487          47.825926
123         111.185309          47.385537
124         111.652729          40.983910
125         112.283809          46.786428
126         112.510700          44.818224
127         126.659776          42.258643
128         126.811037          34.662175
129         127.347889          30.678469
130         127.391283          33.723444
131         127.500389          41.118536
132         127.633052          38.008081
133         127.753317          34.372679
134         127.840106          41.093673
135         128.187262          39.272884
136         128.265372          36.870349
137         128.975801          37.548602
138         129.272123          35.545696
139         130.795889          35.579765
140         131.927865          31.005023
141         142.397091          28.978109
142         143.516668          32.381499
143         143.612136          32.798034
144         144.747831          38.654206
145         144.812303          41.250977
146         151.176412          9.559741
147         152.672901          12.801271
148         153.348615          13.889713
149         153.709409          25.914531
150         154.003251          32.269876
151         154.155752          34.726935
152         154.440916          35.062478
153         154.621932          27.430507
154         154.765754          31.936176
155         154.951730          33.183763
156         155.047198          36.156350
157         155.059597          38.248913
158         155.264171          38.384809
159         155.384435          39.675698
160         155.745229          27.925523
161         155.982039          32.714024
162         156.052710          26.526389
163         156.120901          21.969264
164         156.549887          38.234508
165         156.588322          27.543042
166         157.048303          31.848531
167         157.302471          42.182762
168         157.319829          35.659619
169         157.639708          43.343503
170         158.079852          32.179576
171         158.120767          39.589368
172         158.247230          32.303825
173         158.956420          30.767822
174         158.989896          25.124963
175         159.380446          33.734139
176         159.801992          27.337680
177         159.826789          33.834249
178         161.232770          31.425017
179         161.310880          28.393306
180         161.428665          36.877782
181         161.438584          36.334782
182         161.701430          35.651862
183         161.739865          34.328230
184         161.848971          36.860719
185         161.980395          36.629639
186         162.281676          31.115587
187         162.497409          35.249731
188         162.585437          35.905948
189         162.757776          40.472276
190         163.142127          41.346930
191         163.488042          40.211952
192         163.517799          41.182960
193         163.961662          33.006408
194         165.604453          40.013474
195         166.247931          56.150366
196         169.532272          24.354600
197         169.937700          19.866678
198         176.327846          42.667837
199         176.526221          43.969635
200         176.543578          43.695230
201         177.423866          41.849414
202         177.622241          38.284021
203         178.066104          35.471373
204         180.073409          46.570071
205         180.134161          44.542302
206         180.208551          40.854572
207         180.225909          42.454454
208         180.782598          40.695405
209         183.747060          37.618266
210         187.051239          44.336147
211         187.083475          45.282078
212         187.459147          40.704180
213         187.843498          44.190061
214         188.190654          46.139285
215         196.242188          4.408868
