   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   20997 0.063 2.47e-11 2.06e-08 9109274657848.021 ps
       2   20997 0.084 2.11e-03 1.76e+00 44793.00266844356 ps
       3   20997 0.094 4.71e-12 3.93e-09 14405476651617.709 ps
       4   20997 0.105 2.34e-08 1.95e-05 2049626914.9940329 ps
       5   20997 0.120 7.00e-04 5.84e-01 46118.1499529476 ps
       6   20997 0.125 5.56e-08 4.64e-05 519306160.8357222 ps
       7   20997 0.125 7.97e-12 6.66e-09 3559980531458.0347 ps
       8   20997 0.126 4.09e-05 3.42e-02 687749.1056143546 ps
       9   20997 0.127 5.86e-08 4.89e-05 465746609.6251162 ps
      10   20997 0.127 8.78e-06 7.34e-03 3098490.274643756 ps
