   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   20997 0.066 2.05e-11 1.71e-08 162917847.63871062 ps
       2   20997 0.085 2.12e-03 1.77e+00 1.2309107865770135 ps
       3   20997 0.107 2.19e-10 1.83e-07 9433175.756513393 ps
       4   20997 0.111 4.26e-04 3.56e-01 4.651044560475595 ps
       5   20997 0.118 3.75e-11 3.13e-08 50097238.148903504 ps
       6   20997 0.118 1.50e-09 1.25e-06 1244322.8938991537 ps
       7   20997 0.119 8.13e-07 6.79e-04 2277.4515389285434 ps
       8   20997 0.120 1.96e-04 1.64e-01 9.357783698546353 ps
       9   20997 0.124 8.53e-08 7.13e-05 20904.33398993352 ps
      10   20997 0.126 5.40e-07 4.51e-04 3241.8241765994376 ps
