   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   55992 0.090 1.01e-14 2.25e-11 365910682795.0 ps 2.14e-13 cm^2/s
       2   55992 0.091 4.95e-04 1.10e+00 7.3664380588 ps 1.06e-02 cm^2/s
       3   55992 0.100 3.27e-15 7.29e-12 1.01012678998e+12 ps 7.76e-14 cm^2/s
       4   55992 0.105 6.70e-06 1.49e-02 472.812385054 ps 1.66e-04 cm^2/s
       5   55992 0.105 1.57e-06 3.51e-03 2004.69140252 ps 3.91e-05 cm^2/s
       6   55992 0.105 5.09e-06 1.13e-02 619.133365081 ps 1.27e-04 cm^2/s
       7   55992 0.106 9.54e-08 2.12e-04 32709.3530939 ps 2.40e-06 cm^2/s
       8   55992 0.108 1.19e-14 2.65e-11 257746037466.0 ps 3.04e-13 cm^2/s
       9   55992 0.108 1.10e-13 2.45e-10 27788914843.8 ps 2.82e-12 cm^2/s
      10   55992 0.108 2.54e-13 5.66e-10 12034569420.5 ps 6.51e-12 cm^2/s
