   Index  Volume     Peak      Amp     mu^2 Lifetime
       1   55992 0.090 4.70e-16 1.05e-12 7.86318701326e+12 ps
       2   55992 0.092 4.56e-04 1.02e+00 7.90775259139 ps
       3   55992 0.100 2.03e-16 4.52e-13 1.62715005085e+13 ps
       4   55992 0.105 7.43e-06 1.65e-02 426.524396374 ps
       5   55992 0.105 1.99e-06 4.44e-03 1583.92542648 ps
       6   55992 0.105 5.09e-06 1.13e-02 619.376782956 ps
       7   55992 0.106 6.21e-08 1.38e-04 50226.8904956 ps
       8   55992 0.108 2.85e-14 6.35e-11 107620275293.0 ps
       9   55992 0.108 8.51e-15 1.90e-11 359198664256.0 ps
      10   55992 0.108 1.68e-14 3.74e-11 181951228144.0 ps
